"","year","ISO_code","countries","region","pf_rol_procedural","pf_rol_civil","pf_rol_criminal","pf_rol","pf_ss_homicide","pf_ss_disappearances_disap","pf_ss_disappearances_violent","pf_ss_disappearances_organized","pf_ss_disappearances_fatalities","pf_ss_disappearances_injuries","pf_ss_disappearances","pf_ss_women_fgm","pf_ss_women_missing","pf_ss_women_inheritance_widows","pf_ss_women_inheritance_daughters","pf_ss_women_inheritance","pf_ss_women","pf_ss","pf_movement_domestic","pf_movement_foreign","pf_movement_women","pf_movement","pf_religion_estop_establish","pf_religion_estop_operate","pf_religion_estop","pf_religion_harassment","pf_religion_restrictions","pf_religion","pf_association_association","pf_association_assembly","pf_association_political_establish","pf_association_political_operate","pf_association_political","pf_association_prof_establish","pf_association_prof_operate","pf_association_prof","pf_association_sport_establish","pf_association_sport_operate","pf_association_sport","pf_association","pf_expression_killed","pf_expression_jailed","pf_expression_influence","pf_expression_control","pf_expression_cable","pf_expression_newspapers","pf_expression_internet","pf_expression","pf_identity_legal","pf_identity_parental_marriage","pf_identity_parental_divorce","pf_identity_parental","pf_identity_sex_male","pf_identity_sex_female","pf_identity_sex","pf_identity_divorce","pf_identity","pf_score","pf_rank","ef_government_consumption","ef_government_transfers","ef_government_enterprises","ef_government_tax_income","ef_government_tax_payroll","ef_government_tax","ef_government","ef_legal_judicial","ef_legal_courts","ef_legal_protection","ef_legal_military","ef_legal_integrity","ef_legal_enforcement","ef_legal_restrictions","ef_legal_police","ef_legal_crime","ef_legal_gender","ef_legal","ef_money_growth","ef_money_sd","ef_money_inflation","ef_money_currency","ef_money","ef_trade_tariffs_revenue","ef_trade_tariffs_mean","ef_trade_tariffs_sd","ef_trade_tariffs","ef_trade_regulatory_nontariff","ef_trade_regulatory_compliance","ef_trade_regulatory","ef_trade_black","ef_trade_movement_foreign","ef_trade_movement_capital","ef_trade_movement_visit","ef_trade_movement","ef_trade","ef_regulation_credit_ownership","ef_regulation_credit_private","ef_regulation_credit_interest","ef_regulation_credit","ef_regulation_labor_minwage","ef_regulation_labor_firing","ef_regulation_labor_bargain","ef_regulation_labor_hours","ef_regulation_labor_dismissal","ef_regulation_labor_conscription","ef_regulation_labor","ef_regulation_business_adm","ef_regulation_business_bureaucracy","ef_regulation_business_start","ef_regulation_business_bribes","ef_regulation_business_licensing","ef_regulation_business_compliance","ef_regulation_business","ef_regulation","ef_score","ef_rank","hf_score","hf_rank","hf_quartile"
"1",2016,"ALB","Albania","Eastern Europe",6.661502941,4.547243777,4.666508223,5.291751647,8.920429431,10,10,10,10,10,10,10,7.5,5,5,5,7.5,8.80680981,5,10,5,6.666666667,NA,NA,10,9.566666667,8.011111111,9.192592593,10,10,NA,NA,10,NA,NA,10,NA,NA,10,10,10,10,5,5.25,10,10,10,8.607142857,0,10,10,10,10,10,10,5,6.25,7.596280576,57,8.232352941,7.509902296,8,9,7,8,7.935563809,2.668221792,3.145461678,4.512227773,8.333333333,4.166666667,4.387444055,6.48528661,6.933499972,6.215400695,0.948717949,5.071813726,8.986454287,9.484575272,9.7436,10,9.55365739,9.626666667,9.24,8.024,8.963555556,5.574481487,9.405327776,7.489904631,10,6.306105852,4.615384615,8.296923099,6.406137855,8.21489951,5,7.295686921,9,7.098562307,5.566666667,5.396398703,6.234861215,8,6.299740913,10,6.916277916,6.072171528,6,9.713863752,4.050195972,7.324582113,7.074365792,6.705863193,6.906901139,7.54,34,7.568140288,48,2
"2",2016,"AUT","Austria","Western Europe",8.969832378,7.872187541,7.673226526,8.171748815,9.73791214,10,10,10,10,10,10,10,10,10,10,10,10,9.91263738,10,10,10,10,NA,NA,10,8.131111111,5.644444444,7.925185185,10,10,NA,NA,10,NA,NA,10,NA,NA,10,10,10,10,7.333333333,8,10,10,10,9.333333333,10,10,10,10,10,10,10,10,10,9.246948401,8,3.744117647,3.10106205,10,4,3,3.5,5.086294924,7.650855382,5.482199589,8.092564742,10,10,6.220992578,8.10049394,8.501866658,7.194909255,1,7.915986905,8.033868574,9.875450532,9.822,10,9.432829777,9,8.96,6.8384,8.266133333,6.544708412,9.963313765,8.254011088,10,6.899639766,3.076923077,7.743794892,5.906785912,8.106732583,8,9.38704365,10,9.12901455,8.9,3.35208575,2.13862141,6,10,3,5.56511786,4.150648515,8.888888889,9.233098826,6.418890119,7.296116368,8.531578233,7.419870158,7.371334189,7.58,27,8.4134742,16,1
"3",2016,"BLR","Belarus","Eastern Europe",4.483688962,5.93458709,4.968498773,5.128924941,8.566134566,10,10,5,10,10,9,10,10,10,10,10,10,9.188711522,0,0,10,3.333333333,NA,NA,2.5,8.471111111,4.488888889,5.153333333,2.5,2.5,NA,NA,2.5,NA,NA,2.5,NA,NA,2.5,2.5,10,10,0.666666667,2.5,7.5,5,5,5.80952381,7,10,10,10,10,10,10,5,8,6.059028163,120,5.085294118,4.460490463,10,10,5,7.5,6.761446145,NA,4.2,NA,5,5.833333333,6.970305125,9.943302288,NA,NA,0.72972973,5.525957318,8.698423241,0,7.632683846,5,5.332776772,8.066666667,8.56,6.4864,7.704355556,NA,9.728995482,9.728995482,10,NA,0.7692,1.770010261,1.269605131,7.175739042,2,4.551855399,5,3.850618466,10,NA,NA,10,7.755176154,1,7.188794038,NA,5.555555556,9.833614661,NA,9.042633915,7.93748393,8.092322015,6.37724484,6.23,123,6.144514082,128,4
"4",2016,"BEL","Belgium","Western Europe",8.669066926,7.343871578,7.240364332,7.751100945,9.220406912,10,10,10,8.941656709,5.131620863,8.814655515,10,10,10,10,10,10,9.345020809,10,10,10,10,NA,NA,10,8.333333333,6.061111111,8.131481481,10,10,NA,NA,10,NA,NA,10,NA,NA,10,10,10,10,9,9.25,10,10,10,9.75,7,10,10,10,10,10,10,10,9.25,8.987178587,19,2.491176471,2.010415679,10,2,0,1,3.875398037,7.683749198,5.396705867,7.907517752,10,8.333333333,5.565037753,4.767009987,7.667311827,6.278735797,1,7.066600168,8.094896529,9.808966854,9.6056,10,9.377365846,9,8.96,6.8384,8.266133333,6.151283582,9.963313765,8.057298673,10,7.854413986,3.846153846,7.743794892,6.481454241,8.201221562,10,8.818197391,10,9.606065797,8.9,3.646229903,5.41886727,6,10,10,7.327516196,3.417021433,8.666666667,9.758030092,6.46940883,7.459619696,8.4755316,7.37437972,8.102653904,7.32,52,8.153589293,27,1
"5",2016,"BIH","Bosnia and Herzegovina","Eastern Europe",6.312217024,4.995851416,5.102172745,5.470080395,9.489854712,10,10,5,10,10,9,10,10,5,5,5,8.333333333,8.941062682,5,5,10,6.666666667,NA,NA,10,8.417777778,7.127777778,8.515185185,10,7.5,NA,NA,10,NA,NA,10,NA,NA,10,9.5,10,10,6.333333333,4.25,10,10,10,8.654761905,7,10,10,10,10,10,10,10,9.25,7.861447145,47,5.582352941,5.352167397,4,10,3,6.5,5.358630085,3.081718287,2.357058128,3.628379503,5.1,NA,3.79305681,7.837119866,4.37454462,5.173087915,0.871794872,4.134907779,8.806768787,9.707141922,9.749712,5,8.315905677,9.99,8.74,6.9256,8.551866667,4.742879073,9.595859387,7.16936923,10,4.658517043,3.076923077,8.518174381,5.4178715,7.784776849,10,8.683700717,10,9.561233572,5.566666667,3.885142803,7.440884113,10,7.505751282,10,7.399740811,2.48684446,5.111111111,7.798699061,3.149829626,7.739726681,5.392966822,5.27986296,7.413612448,6.6,98,7.230723572,59,2
"6",2016,"BGR","Bulgaria","Eastern Europe",4.984199294,5.631896601,4.058020693,4.891372196,9.545583195,10,10,10,10,9.971940938,9.994388188,10,10,10,10,10,10,9.846657127,10,10,10,10,NA,NA,7.5,8.088888889,5.827777778,7.138888889,10,10,NA,NA,7.5,NA,NA,10,NA,NA,10,9.5,10,10,6,5.75,10,10,10,8.821428571,7,10,10,10,10,10,10,10,9.25,8.155539077,41,5.747058824,5.846511721,8,10,7,8.5,7.023392636,3.325276375,3.326449394,4.183209737,8.333333333,5,5.083931827,8.6876519,4.260773262,4.903684855,0.846153846,4.831211352,8.462607943,9.454486725,9.8403,10,9.439348667,9,8.96,6.8384,8.266133333,5.369018713,9.839054187,7.60403645,10,5.301504136,6.923076923,7.633169251,6.619250103,8.122354972,10,8.831714707,10,9.610571569,5.566666667,4.577230215,6.818470955,6,9.251725385,10,7.035682204,3.909035127,6.222222222,9.251014408,3.517540336,9.329954097,4.92217511,6.191990217,7.612747996,7.41,46,7.782769538,41,1
"7",2016,"HRV","Croatia","Eastern Europe",6.312658075,5.732319144,5.056636383,5.700537868,9.582146209,10,10,10,10,10,10,10,10,10,10,10,10,9.860715403,10,10,10,10,NA,NA,7.5,9.104444444,7.55,8.051481481,10,10,NA,NA,7.5,NA,NA,7.5,NA,NA,10,9,10,10,7,5.75,10,10,7.5,8.607142857,10,10,10,10,10,10,10,10,10,8.456175752,35,4.438235294,4.297314868,8,4,0,2,4.68388754,3.154351313,1.765374938,4.383976857,8.333333333,7.5,4.642387391,7.513402326,6.074648698,7.244429588,0.948717949,5.479351478,7.120634665,9.644659951,9.78,10,9.136323654,9.906666667,8.96,6.8384,8.568355556,6.649037997,9.963313765,8.306175881,10,5.385522048,4.615384615,7.633169251,5.878025305,8.188139185,10,8.228553858,10,9.409517953,5.566666667,2.604372502,6.55614376,6,7.505751282,10,6.372155702,1.466277242,5.555555556,9.659270894,3.267637531,8.847433193,7.690878748,6.081175527,7.287616394,6.96,75,7.708087876,44,2
"8",2016,"CYP","Cyprus","Eastern Europe",NA,NA,NA,6.327701936,9.555652932,10,10,7.5,10,10,9.5,10,10,10,10,10,10,9.685217644,10,10,10,10,NA,NA,7.5,8.611111111,5.366666667,7.159259259,10,10,NA,NA,7.5,NA,NA,7.5,NA,NA,7.5,8.5,10,10,8.666666667,7.5,10,10,10,9.452380952,10,10,10,10,10,10,10,10,10,8.514393916,34,6.520588235,6.235337445,10,7,6,6.5,7.31398142,6.091953118,4.238452713,5.868837038,8.333333333,8.333333333,4.003515462,6.411309995,6.150461038,6.891518433,0.897435897,5.937152237,8.736025105,9.508918848,9.7142,10,9.489785988,9,8.96,6.8384,8.266133333,6.430490017,9.310653997,7.870572007,10,6.319682995,6.923076923,7.743794892,6.99551827,8.283055903,10,8.725348395,10,9.575116132,5.566666667,4.587072133,6.119330723,10,10,1,6.212178254,4.770913522,8.444444444,9.677645434,4.668132146,4.998009226,8.576415539,6.855926718,7.547740368,7.71,18,8.112196958,30,1
"9",2016,"CZE","Czech Rep.","Eastern Europe",8.71149208,7.237187748,7.411396829,7.786692219,9.754941159,10,10,10,10,9.981071956,9.996214391,10,10,10,10,10,10,9.91705185,10,10,10,10,NA,NA,7.5,8.482222222,7.311111111,7.764444444,10,7.5,NA,NA,10,NA,NA,10,NA,NA,10,9.5,10,10,8.666666667,8,10,10,10,9.523809524,7,10,10,10,10,10,10,10,9.25,9.029761414,16,3.226470588,3.353893802,10,9,4,6.5,5.770091097,5.827378432,3.046967784,6.05143547,10,8.333333333,3.806148738,8.155976401,6.261775493,7.528491815,0.923076923,6.304648234,7.90190933,9.772818798,9.87214,10,9.386717032,9,8.96,6.8384,8.266133333,6.869940758,9.963313765,8.416627262,10,7.945795457,3.076923077,7.743794892,6.255504475,8.234566268,10,9.30651312,10,9.768837707,8.9,3.844176532,8.217654228,10,7.755176154,10,8.119501152,2.723618348,7.333333333,9.701346747,4.404639404,6.89007274,7.220087036,6.378849601,8.08906282,7.56,30,8.294880707,21,1
"10",2016,"DNK","Denmark","Western Europe",9.273487606,8.619285893,8.168528987,8.687100828,9.607727447,10,10,10,9.941806433,9.89525158,9.967411603,10,10,10,10,10,10,9.858379683,10,10,10,10,NA,NA,10,7.74,5.366666667,7.702222222,10,10,NA,NA,10,NA,NA,7.5,NA,NA,10,9.5,10,10,9.333333333,8.5,10,10,10,9.69047619,10,10,10,10,10,10,10,10,10,9.325639969,4,1.505882353,4.53071545,8,3,2,2.5,4.134149451,8.569609323,5.976064206,8.181675275,10,10,5.393731649,9.727176308,7.924672763,6.92485094,1,8.077531163,9.847807722,9.656597207,9.95,10,9.863601232,9,8.96,6.8384,8.266133333,6.451179982,9.963313765,8.207246873,10,7.451079687,6.923076923,7.743794892,7.372650501,8.461507677,10,9.308721526,10,9.769573842,10,7.04725504,5.853713353,8,10,3,7.316828066,4.15986379,7.111111111,9.841581517,7.723445892,9.873388041,8.542787559,7.875362985,8.320588298,7.77,16,8.547819985,6,1
"11",2016,"EST","Estonia","Eastern Europe",8.766075886,7.847470597,6.789710192,7.801085558,8.722745246,10,10,10,10,10,10,10,10,10,10,10,10,9.574248415,10,10,10,10,NA,NA,7.5,9.111111111,8.377777778,8.32962963,10,7.5,NA,NA,10,NA,NA,10,NA,NA,10,9.5,10,10,8.333333333,9,10,10,10,9.619047619,7,10,10,10,10,10,10,10,9.25,9.013701218,17,3.473529412,6.061366019,7,10,4,7,5.883723858,7.83907493,5.534038941,7.342769305,8.333333333,6.666666667,5.704890202,9.504907725,8.341100217,7.707635562,1,7.441601876,7.825200968,9.511280261,9.97018,10,9.326665307,9,8.96,6.8384,8.266133333,7.06014951,9.919527094,8.489838302,10,7.815367778,5.384615385,7.743794892,6.981259352,8.434307747,10,10,10,10,6.666666667,6.022956372,8.641165892,4,9.251725385,3,6.263752386,5.129202207,9.555555556,9.822880806,6.853504897,9.239308455,9.439533677,8.339997599,8.201249995,7.86,13,8.436850609,14,1
